,댓글
13,수술 전 준비나 수술 후 이런저런 사항 꼼꼼히 챙겨주셔서 좋았습니다:) 하루 입원하며 담당 간호사분들도 정말 친절하셨어요!
14,항상 방문할때 마다 친절하게 설명 해주시고 빠른 진료와 수술 이후에도 세심하게 신경 써주셔서 감사합니다. 첫 편도수술 이였는데 역시 땡큐서울이비인후과의원 믿고 마음편히 잘 받고 현재 좋은 상태로 회복중에 있습니다. 감사합니다.
15,환자와 보호자에게도 세심한 설명과 함께 빠른 진료와 수술차후라도 이상시 꼭 진료 받고 싶은 병원입니다
16,친절한 상담과 수술이후 꼼꼼한 확인과 설명등 정성과배려에 맘이 놓이고 심리적안정이 들어 든든하네요
17,"원장, 간호사 선생님의 친절한 내용과 상담과 쾌적한 병원 시설 환경에 최고수준이네요"
18,침샘에 혹을 발견하고 많은 고민끝에 하원장님께 수술받았습니다. 빠른진료와 수술스케쥴을 잡아주셔서 마음편히 진행할 수 있었습니다. 간호사 선생님들도 너무 친절하시고 편하게 있을수 있어서 더 좋았습니다. 하원장님 감사드립니다.
19,"16년도 개원부터 시작해서 1차, 2차 수술까지 세심하고 항상 환자의 마음을 먼저 헤아려 주시는 내/외과/마취과 원장 선생님 그리고 간호사 선생님까지 대학병원보다 안전하고 편안하게 수술과 회복할 수 있어서 좋았습니다. 정말 감사합니다."
20,친절하고 빠릿빠릿한 시스템으로 환자의 불안함 마음을 안정시켜주는 고마운 곳 감사합니다
21,대학병원보다 빠르고 편안하게 수술받을수 있어서 좋았습니다.
22,"수술도 빠르고,안전하게 잘 끝내주시고, 편안히 회복할 수 있어서 좋네요"
23,간호사 3명  다 의료급여의뢰서 기본 개념도  모르고 환자에게 큰소리 치더군요 의료급여제도는  공부도 안하고  테스크에 앉아서 환자들 상대하다니 어이없네요 그리고 간호사 불친절해요
24,직원분들도 너무 친절하고 무엇보다 믿음이 가서 좋네요
25,간호사분들 너무 친절하시고 하정훈 원장님도 프로페셔널하고 친절하게 진료봐주시고 수술까지 무사히 마쳤어요. 감사합니다
26,초록창 카페 땡큐이비인후과 카페 장문의 후기 남겼습니다. 다소 좀 투머치로 저의 마음을 담아 찬양했지만 관계자는 절대 아니구요. 지금 외래가는 환자입니다. 에이 그래도 종합병원이 더 낫겠지라는 편견을 버리고 일단 가보십시요. 수술은 병원이 아니라 의사가 한다는 것!!! 저는 여러가지 사유에서 만족하며 저희 가족에게도 추천합니다.
27,"땡큐이비인후과 추천합니다! 원장님도 친절하시고, 간호사선생님들까지 최고예요ㅠㅠ 수술 받았는데 회복시간도 빠르고 아주좋아요 ㅎㅎ 위치도 가까이있어서 좋습니다:)"
28,편도절제술에 관련한 거의모든 인터넷 후기를 섭렵하고 단단히 마음먹고 수술받았습니다. 수술을 잘 해주셔서 그런건지 불편한 정도이지 지구를 삼키는 고통은 느껴보지 못했네요ㅎㅎ 당일퇴원가능하지만 겁나서 하루 더 입원했었는데 간호사분들 모두 친절하셨고 병실 깔끔해서 잘 쉬다가 왔습니다~ 하정훈원장님 감사합니다
29,침샘종양 수술 했구요 친절하고 솜씨 좋으신 의사선생님 덕분에 수술 잘 마쳤습니다
30,"갑상선 낭종 시술하고 갑니다. 설명도 자세히 잘해 주시고요  의사선생님, 간호사님 친절히 잘 해주십니다. 수술할뻔 했는데 다행이 시술을 추천해 주셔서 편하게  시술 받았습니다."
31,"귀밑샘의 양성 신생물 제거 수술했어요.. 수술 전 수술 내용 설명도 잘 해야주시고 의사 선생님, 간호사 선생님 모두 친절하세요. "
32,"아버지 침샘 혹 수술 받았는데, 빠르고 안전하게 해주셨어요~   명의병원은 달라요~"
33,진료받고 경화시술 받았어요~! 목에 낭종이 생겨서 병원 여기저기 다녔는데 제일 괜찮았어요!  입원해서 2층 3층 다있었는데 저봐주신 간호사쌤들 전부 친절하고 좋았어요!!
34,왼쪽 턱 밑(악하선) 침샘 타석 제거수술하여 타석 제거했습니다.  작년에 서울 소재 대학병원에서 똑같은 수술했는데 돌을 발견 못해서 수술 실패했는데 이번엔 수술 후 경과도 훨씬 좋고 회복도 비교도 안되게 빠르네요. 무조건 대학병원만 갈 건 아니라고 생각되네요. 수술 잘 해주신 천원장님 정말 감사합니다.
35,타석증으로 대학병원 다니면서 고생하다가 치료기간이 너무 오래 걸려 땡큐로 왔는데 너무 잘한 선택인거 같아요 진작 이리 올껄 그랬어요. 천원장님  항상 친절하고 자세히 설명해주시고 수술도 환자입장에서 잘해주셔서 감사합니다 
36,하정훈 원장쌤 친절하십니다
37,솔직히 병원에서 수술 받기 전까지 반신반의 했었는데 수술 하고 나서 완전 만족하고 있습니다. 하정훈 원장님 정말 감사합니다.. 진료 받을 때부터 세세하게 다 알려주시고 수술 하고 나서도 꼼꼼히 봐주신다는 생각이 들어서 너무 좋았고 간호사분들도 모두 친절하시고 잘 봐주셔서 감사했습니다. 
38,혹시  저처럼 갑상선암이란 진단에 멘붕오시거나 두려우신분은  이곳에서 진료받으세요   실력은 최고이며  이병원 원장님의 환자에대하시는 철학은 최고입니다
39,"무엇보다도 실력이 모든 것을 말해주는 곳!!! 수술을 해야한다면 고민하지 않고, 안심하고 선택해도 되는 곳!!!"
40,"악하선종양 수술받았습니다  믿음이가는 자세한 설명과  짧은 수술시간, 회복시간 모두만족합니다 하정훈선생님과 의료진분들 모두 감사드립다 땡큐이비인후과 선택은 너무 행운인것같아요!"
41,"이하선종양제거수술 받았습니다.  수술도 1시간 안쪽이었고, 수술부위 통증도 거의 없는게 신기하네요, 대학병원에서 진료받고 수술 대기날짜가 너무 길어 고민하던 찰나에 땡큐 하원장님을 알게되어 너무 감사합니다. "
42,편도 수술로 병원 이곳 저곳 알아보았는데 여기 땡큐서울이비인후과 원장님들이 실력이 좋아서 유명한 거 같더라구요 수술도 잘 된 거 같고  시설 및 간호사 분들도 좋았습니다
43,"원장 선생님, 간호사 선생님 모두 다 친절하게 대해주셔서 편하게 있다 왔네요. 시설도 깔끔하고 좋아요."
44,편도제거 수술 받았는데 병원도 깨끗하고 친절하시고 수술 잘 됐습니다ㅎㅎ 코블레이터로 해서 그런가 생각보다 아프지 않았고 수술하기 전까지 고민 많았는데 후회없어요
45,의사쌤도 친절하고 간호사 선생님 케어도 너무 친절하고 좋아요 편도수술 받았는데 잘 절제됐어요
46,오늘 지방종제거 수술을 받았습니다 수술은 한시간 정도 자고 일어나니 끝났습니다. 마취 깨어난 후 전혀 아프지도 않고 수술또한 잘되었다고하니 너무 좋네요
47,갑상선암 수술 받았습니다~! 안전하게 그리고 덜 아프게 받은것 같아서 감사합니다 전신마취후유증이 적어서 좋아요~!
48,6시간 전에 갑상선암 수술받았습니다! 다른 곳과 비교도 하지 않고 하원장님 믿고 수술했습니다!! 결론은 너무 잘한 것 같아요~~~!!
49,"하 원장님께 이하선 종양 제거술 받았습니다. 사실은 대학병원과 땡큐이비인후과 사이에서 엄청나게 고민을 했는데, 결론적으로 땡큐에서 수술받은 게 정말 다행이라고 생각합니다. 전신마취도 무슨 숙면 취하다 깬 것 처럼 말똥말똥하게 깨서 놀랐고 수술부위 통증이 적었습니다. 저는 V자 최소절개로 해주신 거 같은데 (위치나 크기에 따라 달라진다고 합니다) 그래서 그런..."
50,"이하선종양 제거술 받았습니다. 원장님의 친절하고 차분한 설명 덕에 마음 놓고 수술받을 수 있었고, 최상급 의료진들만 수술에 참여하시기에 대학병원보다 수술시간도, 회복도 빠른 것 같아 만족합니다. 시설도 깔끔합니다. 적극 추천합니다^^"
51,"귀밑 종양 수술을 위해 수술후기를 검색하다가 이곳으로 결정했고, 정말 잘한 선택이었습니다. 종양과 함께 걱정도 말끔히 사라졌습니다. 하원장님 정말 감사드립니다."
52,"저는 수년전 귀밑에멍울이 아주 쪼그만한게 만져졌는데  사람은 멍울이 다있다고들 커지지않는한 그냥살아도된다고해서 암생각없이20년넘게 살아습니다  근데 내나이40살이넘어가니  건강관리를 그닥 신경쓰지않고 있었던게 잘못인지 여기저기 고장나기시작했습니다 귀밑멍울이 점점커지고 약간불편함을느낄정도 그래서 안되겠다싶어 대학병원으로가서 검사 CT,초음파 세침검사받았습니다..."
53,어머니가 7년전 턱밑샘 종양 관련 대학병원에서 진료를 받고 그때 좀 더 지켜 보자고 해서 까맣게 잊고 있다가 그후 약 6~7년이 지난후 TV방송을 보시면서 종양이 암으로 전이 될수도 있다 라는 방송을 보시고 두려운 마음에 종양을 만져보시니 몇년 전보다 훨씬 커진 것 같다며 다시 그 대학병원을 방문하셔서 진료를 받으시면서 혹시 위험건가요? 라고 물으시니 자기...
54,후기가 좋아서 검색 후 수술 잡았는데 친절하게 자세히 알려주시고 병실도 깨끗하고 좋은것 같아요! 감사합니다
55,진료과 구성과 진료의 질은 좋으나 원무과 직원들이 환자 응대시 주의의무를 다하지 않는다는 인상을 받음.   - 원무과 직원의 문제점 -  1. 질문을 듣고 맞는 대답을 하는게 아니라 방어적으로 자기 할말을 함.  예를 들어 이은정 교수님 외래 진료 시간이 언제까지냐는 질문에 통화하실수 있는 시간을 정해드릴 수 없다는 변명을 함. 뭔솔?? 통화 시간 정해달라...
56,"열흘전 침샘종양 수술받았습니다. 지방에서 서울가서 수술해야 한다며 여길 추천해주셨고 그후 검색을 해보니 믿음이가서 진료후 바로 수술하였습니다 원장님의 실력과, 자신감, 확실함이 좋았습니다. 그리고 대학병원은 수술한번 하려면 진료, 검사, 검사결과, 또다른검사 등등으로 방문 횟수도 너무 많고 수술도 몇개월 뒤에나 가능하고, 수술시간도 길고, 입원기간도 4박5..."
57,갑상선 치료차 방문하였습니다. 간호사 선생님들도 친절 하시고 원장님도 꼼꼼히 잘 치료 해 주셨어요
58,편도절제술 받았습니다. 원장님 간호사분들 친절하시고 시설도 깔끔하고 좋습니다. 코블레이터라는 도구로 수술받아서그런지 통증도 많이 없습니다. 편도절제술 생각하는분들 강추드립니다
59,2월1일 어머니가 이하선종양으로 수술받으시고 오늘 퇴원했는데 다들 친절하게 설명해주셔서 좋았습니다. 1인실 1호실에 불끄는 스위치는 빨리 수리하셨으면 좋겠어요 불이 안꺼져서 스카치테이프를 붙여서 사용한게 불편했습니다.
60,갑상선암 수술받았습니다. 입원실 깔끔해서 잘 지냈어요. 원장님 간호사분들 너무 친절하시고 원장님 수술실력 최고이신거같아요:)
61,하정훈원장님께 수술예약하고 오늘수술합니다. 원장님께서 친절히 설명도 잘해주시고 믿음도 가고 좋습니다.
62,침샘종양 수술후 오늘 퇴원했습니다ㆍ절개도  생각보다  작게되었고  붓기와 통증도 거의 없습니다ㆍ처음부터 진료와 검사를  땡큐에서 한게  행운이었네요ㆍ 감사합니다~
63,"1.20귀밑 침샘종양 수술했습니다. 대학병원에서 진단및 ct 하였으나 대학병원은 4박5일의 긴 입원시간과 긴수술시간, 귀앞에서 목선까지 절개가 길게 수술예상되었습니다.땡큐의 하정훈원장님을 만난건 너무나 행운인것 같습니다.설명도, 환자 응대도, 수술도 신뢰있게 말씀해주셔서 큰힘이 되었고, 수술당일 절개부위도 많이 줄었고 수술도 빠른시간에 끝났습니다.수술은 처..."
64,1월 11일에 이하선종양 수술했고 12일에 바로 퇴원했습니다. 수술실과 입원실이 같은 층에 있어 동선이 짧은 점 정말 좋았구요.  입원실 정말 깨끗하구요. 수술일 저녁식사와 퇴원일 아침식사 제공받았는데 음식 맛도 좋았습니다. 침대도 전동침대라서 수술 후 몸을 움직이기 힘든 상황에서 큰 힘이 됐습니다!
65,몸이 아프면 마음도 아프다고 하는데 하정훈원장님과 의료진 선생님들께서 수술전 자세히 설명해 주시고 수술후에도 선생님들이 더 힘들으셨을텐데도 수술받으시냐고 고생 많으셨다고 힘든 수술이였는데 긴 시간 동안 고생하셨다고 수술은 잘 되었으니까 회복 잘 하시기만 하면 된다고 따뜻하고 감사한 말씀을 해 주셔서 아팠던 병도 마음도 모두 치유되는것 같아 고맙고 감사하고 ...
66,아버지가 혹 수술하러 오셨는데 되게 빨리 간단하게 잘 해주셨고 회복중에계신데 병실도 깨끗하고 좋네요
67,12월달에 편도절제술받았어요.  수술예약도 잘되고 시설도 깨끗하고 좋아서 당일입원한 기간동안 편했어요.  의사선생님도 설명잘해주시고 간호사선생님들도 친절하구 설명잘해주셨어요. 제가 혈관이 잘 안보이는 편인데 한번에 주사 꼽아주셔서 너무 좋았습니다. 그리고 또 역이랑 가까워서 교통편도 좋았어요! 편도도 잘제거되었습니다~! 지금 깨끗하고 이쁘게 잘 제거됐어요....
68,"대구에서 성문암 진단을 받고, 땡큐서울이비인후과에서 빠르게 수술 받을 수 있었습니다.   초기이나 병변 부위가 넓고 얇게 펴져 있어 대구쪽 병원에서는 수술 치료는 어렵다하여 방사선치료를 처방하였는데,   땡큐서울이비인후과에 와서 진료 본 결과, 수술 치료 가능 소견을 주셔서 오늘 하정훈 원장님 집도로 레이저 수술하였습니다.  국내 두경부암진료 권고안이나 해..."
69,의사선생님 간호사님 모두 친절하시고 잘 봐주십니다!!
70,인천에서 건강건진 하다가 결졀이 발견되어 갑상선수술할 곳을 급하게 알아보다가 서울땡큐이비인후과를 알게 되었어요. 원래는 예약과 수술도 오래 걸린다고들 하던데 저는 바로 착착 예약에 수술 진행했어요. 하원장님 설명도 알아듣기 쉽게 잘 해주시고 자신감 넘치시는 말투에 신뢰가 쑥쑥!!!ㅎㅎ 지금 수술하고 회복중인데 너무 안심되고 좋네요. 땡큐 서울이비인후과 완전...
71,꼼꼼히 진료봐주시고 설명도 잘해주시고 친절하게 대해주셔서 너무 좋았습니다
72,지난 달에 갑상선 전절제술을 받았습니다. 치료와 관련해서 만족스러웠던 점은 ① 꼼꼼한 검사 ② 빠른 진행 및 짧은 입원기간 ③ 원장 선생님이 처음부터 끝까지 담당 ④ 간호사 선생님도 친절하심 ⑤ 원장 선생님과 간호사 선생님께 쫓기지 않고 여유있고 편하게 질문할 수 있어 궁금증 해결 가능 ⑥ 입원실 환경 쾌적 ⑦ 편리한 교통편 ⑧ 음성검사 및 음성 관리를 받...
73,편도절제술 일주일 되던 날에 출혈이 있었는데 급한 마음에 예약도 안하고 갔는데도 천원장님께서 달려와주셨어요 다른 병원 후기 보니 너무너무 아프다던데 침 삼킬 때는 많이 아팠지만 참을만했습니다 추천해요
74,꼼꼼하고 자세한 설명 좋네요!
75,의사선생님이 친절하고 자세히 설명해줘서 좋았어요 자세한 설명으로 진료시간이 길어요 믿음이 가네요
76,이하선종양수술 정말 잘 받았어요. 감사해요
77,좋았어요! 자세한 설명에 매우만족 :)
78,"혀 밑에 뭔가 나서, 지인 추천으로 가본 곳이에요. 그런데 의료진들이 모두 대단하신 것 같아요... 혹시나 해서 걱정이 너무 많았는데... 명쾌한 설명 정말 감사했습니다."
79,깔끔한 느낌을 받았고 직원분들 모두 친절하세요. 주변에서 듣고 원장님들 실력도  믿고 갔어요. 갑상선 검사 치료 받을분들 추천합니다!
80,갑상선결절 땜에 이리저리 찾아보다가 알게되서 가본 곳인뎅 대학병원 못지 않게 좋았어요ㅋㅋ 암 의심된다고 하니까 좀더 자세하게 검사해주셨어요  꽤 유명한 원장님인데 직접 자세히 봐주시고.. 검사도 직접 해주셔서 감사했구.. 비용도 보험처리되서 개이득ㅜ 감사합니다~~!
81,
82,
83,비싸고 성의없는 진료
84,뜻있고 실력있는 원장님이 대학병원에서 독립하여 높은 수준의 진료 서비스를 제공하는 것이 좋습니다. 원장님 진료 받으려면 예약해서 가도 좀 기다리는 경우도 있었습니다. 병원운영이 만만치는 않겠지요 하지만 개원 초기에는 그렇지 않았는데 갈수록 좀 상업적이 되는것 같아 안타깝습니다.
85,코로나때문에 진료하기싫은 티 너무 낸다... 이비인후과가 자기네들은 비염이나 코 위주 진료 안한다고 다른병원가라하고...이게 맞는 행동인지 병원들이..
86,"후기가 좋아서 방문해봤는데요, 예약없이 방문했더니, 일반 감기 진료는 안한다고 합니다.(중병위주 진료) 가시기 전에 전화로 문의하고 방문하기를 추천드립니다."
87,"1년전에 침샘결석 수술받앗는데 수술후 너무 붓고 아파서 전화드렸더니 공휴일인데 병원으로 나오라하심, 택시타고 갓더니 사복입고 혼자 오셔서 병원 문열고 진찰해주고 주사놔주셨음 그때 알았음 이분은 진짜 의사이심.."
88,예약제네요 예약하고 오시면 오래 안기다리시고 좋아요 :) 
89,이비인후과이지안 목관련 진료만 함 코 귀 는 안한답니다
