,댓글
46,"다들 친절하신데 간호사 한분 진짜 불친절하세요. 
접수받던 앞머리 있는 간호사. 환자들한테 귀찮다는듯이 짜증내는 말투 간호사인지 양아치인지 ??"
47,좋습니다
48,좋아요
49,ㄹㄹ
50,굿
51,굿~~
52,"귀가 안좋아서 이비인후과에 여기저기 자주 가는데,  이 집은 왜 이렇게 비싼지 모르겠네요.  진료는 동일한데.. 보통 4~6천원 하는데 여긴 10,900 방문
전에 참고하세요."
53,최악이에요 백신 맞는 사람들때문에 사람 바글바글하고 한명은 백신만 놔줘서 진료 보는 선생님은 한명 50분 대기했는데 1분 진료받고 만원 나오네요 한참 기다리다 불러서 갔는데 갑자기 다른 환자 먼저 해주고 왜 저사람 먼저 해주는지 설명도 양해도 없더라구요 진료도 바빠서 그런지 짜증 참는 목소리에 말은 랩하듯이 빠르고.. 다시는 안갈거 같아요
54,친절해요
55,좋아요
56,친절해요
57,..
58,.
59,진료비가 너무 비싸요 ㅜㅜ
60,굿
61,이비인후과에서 내시경도 아니고 약만 바르고 9600원 진료비 처음 내보네요. 정확한 설명도 없고 불친절하고 아무리 아파도 여긴 안갈래요.
62,친절해요
63,친절해요
64,친절해요
65,굿
66,친절하세요
67,그냥.. 그렇습니다
68,차절해요
69,추천
70,좋아요
71,친절해요
72,"진료 비싸고
진찰 별로
불친절.."
73,ㆍ
74,친절하고 좋아요
75,좋아요
76,친절해요
77,훌쩍훌쩍
78,친절하세요
79,친절해요
80,깨끗하고 좋습니다. 친절합니다
81,선생님이 친절하세요
82,선생님이 친절하세요
83,아놔. 평생 콧물때문에 스틀받아서 상태가 어떤지 상담받으러 갔다가 지말만 하는 의사랑 같이 말하는 간호사때문에 정신만 하나도 없었음. 하나라고 다 같은하나가 아니라는 이유가 이때문이듯. 아놔. 네이버 정보보다도 못한 뻔한소리만 읊어댐. 진료비만 버림
84,"남자 의사한테 진료 받았는데 너무 불쾌하네요. 
친절이라고는 일도 없고 말도 치료도 함부로 하며 아프다는 사람을 건성으로 보시는 모습에 정말 전문성을 의심하게 되네요. 이제부턴 이 병원 절대 이용 안 합니다."
85,친절
86,학교랑 가까워서 여러 번 와봤는데 올 때마다 남원장님 불친절하세요... 항상 퉁명하시고 오늘은 진료 보는데 간호사 선생님이랑 다투시기도 하더라고요.. 귀에 문제가 많아서 어쩔 수 없이 자주 들렸는데 앞으로는 다른 곳 가려고 합니다..
87,친절해요
88,친절해요
89,장비도 좋고 친절합니다.
90,원장선생님이 말씀이 빠르시긴한데 잘 설명해주세뇨
91,"방금 남자의사한테 진료봤는데 진짜 무슨 이런 x같은 경우가 있는지 모르겠네요.  환자가 아파서 안아프려고 갔는데 의사는 귀찮다는듯이 대충대충 진료보고 안해도되는 검사를해서 과잉진료로 바가지씌우고. 병원의 본질을 모르는 장사하는 병원이네요. 다신 안가요. 그리고 만약에 여기 가시는 분은 이 후기,꼭 보고 가셔서 참고하시면 좋겠습니다."
92,원장님이 친절하세요
93,의사선생님이 친절하세용
94,꼼꼼하고 친절하게 봐주세요
95,늘 사람이 많긴 한데 아픈부위 등 자세한 설명을 해주셔서 좋아요
96,친절하고 좋았습니다
97,호불호가 있겠지만..그래도 친절하고 쌤도 많이 말씀해주시고..저는 추천드립니다
98,자닥신이랑 비타민 디 등 다양한 영양 주사 맞아요
99,"영양제 맞으러 자주 가요! 
빠르게 맞을 수있어서 너무 좋아요"
100,"걱정되는 부분에 대해서 질문 잘받아주시고 친절하세요.
의사선생님도 간호사선생님들도
검사도 자세히해주고 신경써주셔서 좋았습니다."
101,대기가 왜이렇게 오래걸리나 싶었는데 막상 진료받으러 들어가니 의사선생님이 증상에 대해 아주 자세하고 친절하게 설명해주시네요. 이런 병원 요새 잘 없는데.. 좋은 병원이에요.
102,좋아요
103,좋아요
104,좋아요
105,좋아요
106,카카오맵 리뷰가 왜 그 모양인가 했는데 ㅎㅎ 이유가 있네요. 의사의 고압적인 태도가 가히 놀라울 지경.
107,5층이지만줄서지않아도되좋아요
108,회사에서 가까운 거리라 늘 이용해요. 의사쌤도 친절합니다~
109,친절하십니다
110,직장에서 가까운 이비인후과. 깔끔하고 좋습니다
111,원장님께서 항상 말씀 많이 해주셔서 만족합니다
112,친절하시고 잘 봐주십니다
113,친절하세요
114,친절하고 좋아요.
115,친절하고 설명도 잘해주셔서 좋았어요.
116,좋아요
117,좋아요
118,좋아요
119,친절해요
120,친절하고 정말 좋아요
121,"깨끗해요. 비싸고 비싼만큼 서비스는
느낄수 없어요 조큼 드라이해요 ㅎㅎ"
122,친절하시고 설명을 잘해주셔서 좋아요~~!
123,굿
124,넓고 쾌적하고 친절
125,병원이 4->5층으로 이전하면서 좀 더 깔끔해졌어요~^^
126,잘 이용하고 있어요
127,굿
128,굿
129,"상당히 불쾌하고 성의 없음
특히 남자 의사."
130,불쾌함
131,줄 너무 많이 서요~
132,친절하고 꼼꼼히 봐주세요
133,맛있어요.
134,의사 선생님과 직원분들이 친절하세요.
135,♥️♥️♥️♥️
136,"의사 선생님이 친절하셨고요, 하나하나 물어보고 세삼하게 진료해 주셨어요."
137,좋아요 :)
138,좋아요 
139,가까운 병원에 청력검사실이 있어 좋아요 
140,병원은 안가는걸로..
141,설명 친절하게 잘해주세요
142,진료는 설명 자세히 해주세요. 그런데 병원 들어오고 나갈때 한마디 인사 정도는 하면 더 인상이 좋을것 같아요......
143,굿
144,좋아요 
145,불친절해서 ㅠㅠ
146,추천해요~
147,주말에 대기가 많아요~ 
148,의서선생님이 여러명 계셔서 갈때마다 다른분에게 진찰받게되서 안좋음
149,"의사분이 친절합니다 ~
주말에도 진료가능합니다"
150,조아요
