,댓글
62,오늘 김준엽 원장님께서 사랑니 발치해주셨는데 정말 친절하시고 나머지 치아 상태에 대해서도 자세히 설명해주셔서 믿음이 갔습니다. 감사합니다. 
63,좋아요
64,2번째 방문입니다. 처음과 같이 접수와 진료 좋았습니다. 원장님이 굉장히 꼼꼼하고 설명하는 부분도 이해가기 쉽도록 말씀해주시고 치과는 마취부분이 제일 중요한데 이런부분 디테일하시고 굉장히 신뢰가 갑니다. 오늘 진료 감사했습니다~^^ 번창하시길 바랍니다
65,좋아요
66,굿
67,"친절하시고 거부감없이 스켈링 받을 수 있었어요
감사합니다:)
"
68,흠...
69,친절해요
70,ᆢ
71,금 인레이 빠져서 내원했는데 친절하게 잘 설명해주시고 치료해주셨어요. 사실 다시 인레이 할 생각했었는데 전에 빠진거 다시 붙여서 얼마 안나왔네요. 전체적으로 친절하고 좋았습니다
72,친절합니다
73,친절하고 설명도 잘 해주시네요
74,부가가치세
75,뷰 맛집
76,"사랑니발치때문에 고민하고 검색하다 찾아갔는데 깔끔하고 친절하셔서 너무 좋았어요 원장님 마취할때부터 친절하고 꼼꼼하게해주시고 마취주사도 
아플까 먼저 스프레이마취?해주셔서 마취도 안아프더라고요ㅎㅎ 치과 무서워하는데 마음편히 잘뽑고왔어요~^-^ 감사합니다"
77,상담도 프로페셔널하고 치과 옮기길 잘했다는 생각이 듭니다. 계속 여기로만 다닐 예정이에요! 감사합니다^^
78,"오늘 마지막 치료까지 끝냈어요 친절하고 좋은데 오늘 아래어금니 치료할때 마우스피스 물고 있는데 안쪽에 기계 넣어놓고 치료하시더라고요  근데 그
기계끝이 넘 깊게 찔러서 아팠는데 이야기 할까하다가 마우스도 끼워놔서 그냥 좀 참자하고 참았는데 치료받는동안 넘 안쪽연한살에 꾹 찔러놔서 너
무 아팠어요 ㅠㅠ 원래 옆에 간호사가 들고있어야 하는거로 아는데 왜 치료하면서 쑥 집어넣고 하셨는지는 모르겠으나 집와서도 그자리가 계속 ..."
79,친절하세요
80,두려움에 떨며 스케일링 하러 갔는데 별로 안아프고 선생님도 친절하셔서 좋았어요! 병원 내부 인테리어도 카페 온 기분 들고 깔끔했습니다.
81,병원 크고 깨끗하고 친절하고 좋아요 레진치료랑 스켈링 했어요 스켈링안아프게 잘 해주셨어요
82,"소아치과 원장님 너무친절하시고 과잉진료도 없으셔서 너무 좋아요~치료하실때 아이한테 하나하나 설명해주셔서 무서워하지도않고 좋아합니다.
대학병원소아치과다니는데 대기도너무길고해서 집근처로 바꿨는데 만족스럽습니다."
83,너무나 친절하고 감사했습니다.
84,시설도 정말 깨끗하고 모두들 너무 친절하시구 원장님과도 소통하면서 진료받는 느낌이라 좋고 믿음직스러운거같아요! 담에 검진은 여기서 받아봐야겟어요 ㅎㅎ
85,"병원이 깨끗하고, 친절해요!
사진을 정말 세세히 찍어서 알려주셔서 좋았어요~"
86,"예약도 못하고 방문했는데도 빠르게 해주시고
마취도 안아프고 엄청 꼼꼼하게 치료해주세요!"
87,스케일링 잘해요~ 친절하고 좋습니다^^
88,모든 분들이 항상 친절하고 인사도 서로 먼저 해주셔서 방문시마다 기분이 좋아요.^^
89,"원장님께서 친절하게 상담해주시고
스케일링도 안아프게 잘해주셨어요"
90,엄~~~~~~~청 친절하십니다 ㅎㅎㅎ
91,좋아요
92,좋아요
93,친절하고 안아프게 스케일링하고 좋아요
94,직원분들 친절하시고 스켈링도 불편하지 않게 잘해주셨어요~~
95,친절하고 잘합니다~굿굿
96,넘친절하시고 잘치료해주세요!
97,"김준엽 원장님  친절하게 대해주시고 상세하게 설명 해주세요 넘 좋아요 그리고 인테리어가 5성급 호텔 로비보다 분위기가 끝내줍니다 평생 최애 치과 
이예요 오늘이 두번째 입니다 가장중요한거는 환자 입장에서 생각해주세요  이런맘 아시죠 부모님 집에 온 느낌 입니다"
98,"스케일링 하고왔는데요. 아프지 않게 잘해주셔서 감사합니다!! 원장님, 직원분들도 모두 친절하십니다. "
99,"임플란트랑 충치치료 받고 있어요 !
친절하고 좋으세요!"
100,의사선생님께서 정말 자세하게 설명해주세요.. 친절하시고 인스타그램에서 보던것처럼 강의하나 듣고온 기분..
101,ㅎㅎㅎ
102,다들 엄청 친절하시고 알아듣기 쉽게 설명해주십니다 !! 
103,깔끔하고 좋아요~^^
104,첫 방문했는데 직원분들도 너무 친절하시고 치료도 잘 받았습니다~
105,외국인이라서 갈 때 좀 걱정했는데요 . 그런데 갔데 직원들이 너무 친전하고 저에게 잘 설명했어요 .
106,직원들이 친절하고 잘 설명했습니다 . 
107,갈때마다 원장님이나 직원분들 매우친절하세요~ 간단한 스케일링이나 검진 차 들릴때도 과잉진료 없이 성심성의껏 해주셔서 참 좋아요! 
108,생긴지 얼마안되서인지 시설이 너무 깨끗하고 최신식인듯 해요ㅎ 선생님들 모두 친절하시고 신속 정확하게 치료해주셔서 맘에듭니다~^^
109,"다른곳들보다 체계적이고 친절하세요!
자주 방문하겠습니다~"
110,치과 공포증으로 세번이나 사랑니 빼러갔다가 도망쳤는데 여기에서 한쪽 빼고 나서는 이제 치과가 안무서울꺼같아요!!! 제가 너무 무서워서 질문도 많이 하고 귀찮게 했는데  하나하나 친절하게 설명해주셔서 너무 감사했습니다!!! 다음주에 반대쪽 빼러갈께요ㅎㅎㅎ 마취도 하나도 안아프고 사랑니도 빨리빼서 1000% 만족했습니다 ㅎㅎ 감사합니다
111,"원장님이 친절히 상담해주셔서 좋았습니다! ㅎㅎ 
치료도 안아프게 해주셔서 만족스러웠어요"
112,깨끗하고 친절한 클라리티치과에요
113,"아주 어릴때부터 앞니가 살짝 깨진것 어떻게 해야하는지 어떤 칫과도 조언해 주지 않아서 방치된 채로 살았어요..지인의 조언으로 이쁘게 앞니시술해 
주는곳 검색해서 부산에서 대전까지 찾아 갔습니다^^ 감쪽같이 깨진부위가 사라지고 앞니길이 밸런스까지 맞췄네요~시간은 20분가량 소요됩니다~ 원
장님 친절하시고 솜씨도 좋으세요~ 그간 살짝 앞니깨진 부분 신경쓰였는데.. 이런 감쪽같은 시술이 있었어요~~모르고 걍 방치하는 분들 많을듯..."
114,좋아요
115,며칠전 어떤 치과를 선택해 가야할지 인터넷 검색중 블러그에 남기신 원장님들의 철학에 마음이 끌려 치과 방문 하였는데 역시나 병원 직원들 한분 한분 최선을 다해 주시는 역할들에 감탄했고 진료해 주신 원장님께서도 최대한 환자 입장에 맞추어 진료해 주시는 모습에 감사함과 무한 신뢰감을 얻고 왔습니다 신뢰하는곳에서 치료를 시작했으니 결과도 좋으리라고 생각하며 치료중입니다  이런글을 남기게 되는 치과라 참 좋습니다
116,좋아요
117,친절하고 실력 좋은거같아요~
118,"주차가 편리해요 친절해요 청결해요 진료 하시는게 맘에 들어요 ,병원 공간이 넓어요"
119,교통편이다 주차가 편하다 친절하다 청결하다 화장실이 깨끗하다
120,친절하세요!
121,여기서 교정 중입니다. 의사 선생님께서 설명도 잘해주시고 치위생사 분들도 친절하셔서 만족합니다. 예약도 타이트하게 잡지 않아서 저는 갈 때 마다 기다리지 않고 진료 볼 수 있어서 더 좋았어요. 
122,"친절해서 좋아여
치위생사분도 스켈링 하면서 계속 안내해주고 그냥 너무 친절해서 기분이 좋았어요.. 담에 또갈게여!!! 치과 옮기려고요 ㅋㅋ"
123,좋았어요 친절하고 조용하고 근데 사람이 믾더라고요 다니던 치과 있는데 그냥 스켈링이 너무 하고 싶어 간건데 예약하고 가서 대기 오래 안하고 ㅋㅋ 좋았어요 담에 또 갈게여 좋은 곳 찾은거 같아 기분 좋네여 ㅋㅋ
124,엄마랑 같이 방문했는데 둘다 완전 만족했어요! 대전 이사와서 처음으로 방문한 치과인데 아마 이사가지 않는 한 계속 여기 다닐 것 같아요 ㅎㅎ
125,친절하고 좋아요.
126,친절해요
127,굿
128,너무 친절하게 잘해주세요
129,"시설도 깔끔하고 아프지 않게 치료도 잘해주십니다.
무엇보다 상담이 너무 친절하여 감동받았습니다.  전반적으로 최상입니다~!"
130,친절하시고 꼼꼼히 설명해 주셔서 큰 도움이 되었습니다 다음에도 방문할게요
131,교정상담 받았는데 다들 엄청 친절하시고 설명을 자세히 해주셔서 좋아요! 다른곳은 조금 기계적인? 형식적인 상담이여서 다 똑같아보였는데 여긴 진짜 맞춤상담같아서 좋았습니다!! 엑스레이사진으로만 설명해주시는게 아니라 치아도 직접 확인하시는 모습에 신뢰가 갔어요:)
132,"지하철역 주변이라 찾아가기 편했고 시설도 깔끔하고 무엇보다 모두들 친절하셨어요! 저는 스케일링 받으러갔는데 비용설명도 첨부터 친절히 해주시
고 가글로 살짝 마취를 시켜주셔서 통증이 거의 없었는데 그점이 가장 메리트있고 좋았던 것 같아요!! 충치상담도 받고왔는데 배려도 많이해주셨고 알
아듣기쉽게 설명해주시는건 물론이고 이것저것 질문하는것도 예시사진 보여주시면서 모두 친절하게 설명해주셨어요!! 네이버후기가 워낙많고 ..."
133,친절하고 시설도 좋고 다 만족해요.
134,친절하고 깔끔해요
135,선생님들이 친절해서 아이가 치과에대한 두려움없이 치료 잘받고 왔어요~^^
136,"치아통증이 심해져서 클라리티 치과에 방문했는데친절한 설명과 응대, 의사쌤이 아프지 않게 잘 치료해주셨어요~^^"
137,"집근처여서 블로그 찾아보니 좋은거 같아 오게 되었어요~ 치료내내 자세하게 설명해주시고 안아프게 잘해주셔서  치료 잘받고있어요. 초등학생 아이들도 치료했는데 어린이 치료실도 따로 있고, 거부감없이 잘받았어요~~  직원분들도 친절해서 좋아요~~"
138,친절하고 내부가 깔끔합니다
139,선생님들 모두 너무 친절하시고 좋아요ㅠㅠㅠㅠ 스케일링도 하나도 안 아파요!!
140,"스케일링 받았는데 서비스나 결과 또한 정말 만족스러웠습니다ㅎㅎ
"
141,휴일 진료 야간진료도 해서 좋아요
142,하나도안아파요 ㅎㅎ
143,좋아요
144,김지연 선생님 섬세한 마취 덕에 안 아픈 신경치료 처음 받아봐요.
145,깔끔하게 잘해주십니다~
146,좋아요
147,다들 친절하시고 불편한건 없는지 잘 체크해주십니다 !!
148,친절히상담해주시고 꼼꼼히봐주셨어요
149,영유아구강검진만족
150,늘 친절하고 꼼꼼하게 잘 봐주십니다:)
151,리뷰 수정하고 싶게 만든 병원은 여기가처음이네요. 결국에는 신경치료 4번 받고 결국 다른 병원가기로 했습니다. 병원 앞까지 와서 되돌아갔네요. 예약시간이 늦어서 진료가 안되고 다음주나 가능하다고 하니 그냥 포기 했습니다. 충치치료하는데 너무 오래 걸리고 예약도 일주일 단위로 해주고 보철 가격도 비싸기만 하고 여태까지 왔다갔다 한 시간도 아깝네요.
152,너무좋아요
153,애들이 치과치료 무서워하는데 진정될때까지 기다려주시고 진료시에도 내내 친절하게 이야기해주시고 너무 좋아요~
154,선생님 항상 친절하시고 너무 좋아요~
155,좋아요
156,항상 친절하시고 오늘은 여 원장님이 진료 봐주셨는데 상냥하게 잘 대해주셔서 아이도 진료 잘 받고 왔어요~! 간호사 선생님도 친절하게 해주셔서 기분좋게 돌아왔습니다^^
157,원장님이 굉장히 친절하시고 진료도 잘해주세요. 병원도 깨끗하고 좋아요 :)
158,치이 높이 조정 잘 받고 갑니다!!
159,아들 어금니 홈메우기 했어요. 매번 오는 곳인데 역시나 친절해요. 여자원장님께는 처음 해봤는데  아가들 안 무섭게 설명도 잘 해주시고 친절하네요^^
160,좋아용
161,안아프게 잘 해주셨어요!
162,친절하시고 꼼꼼하세요 🙂
163,친절하시고 깔끔해서 좋아요
164,"너무 친절해요ㅎㅎ 원장님도 상담해주신분도, 간호사님도ㅎㅎ 앞으로 쭉 잘다닐거 같아요"
165,상담 굿!
166,깔끔하고 친절하셔서 좋아요~
167,모두친절하시구 잘봐주셔서 감사합니다 ~
168,"친절하고 충치는 잘발견해주시는것같아요
"
169,만족스럽습니다
170,치료해주신 김국현 원장님 설명도 자세히 해주시고 넘 친절하세요~ 스케일링해주신 분도 넘 친절하셨고 제 치아상태에 맞게 차후관리까지 설명해주서서 넘 좋았어요~ 구리고 마지막으로 상담해주신 분까지 모두 넘 친절하셔서 치과에 대한 두려움이 마니 줄어든 것 같네용 💗💗
171,여자 선생님께 친절한 치료 잘 받았습니다! 감사합니다^^
172,처음방문했는데 친절해요
173,시설도 깔끔하고 친절하게 상담해주셔서 편하게 진료 받고 가요!
174,항상 친절하시고 좋아용
175,마취주사도 아프지 않았고 너무 친절하셔서 치료잘 받고 갑니다!!
176,김홍주 원장님 친절하세요^^
177,친절하고 꼼꼼하게 봐주시네요~감사합니다
178,"원장님들, 간호사쌤들 다~ 친절하시고, 시설도 너무깨끗해요ㅎㅎ 만족만족^^"
179,"치료해주시는 분들 모두 친절하시고 
설명도 잘해주셔서 아주 좋습니다😊"
180,"다들 친절하시고 진료도 꼼꼼하게 설명까지 해주시면서 치료를 진행하니 좋습니다.
물론, 주차장 이용도 편리하고 좋습니다.^^
김홍주 선생님, 친절하고 분위기가 푸근해서 좋습니다."
181,"잘 이해는 못해도 친절하게 치료에 대해서 설명해주시고 예약을 도와주시는 직원분들이 있어서 자주 오게 되는 것 같네요.
진료에 신뢰를 주는 김국현 선생님도 좋습니다.^^"
182,친절하시고실력도 넘좋으세요~~~
183,친절하시구 스케일링 가글마취도 너무 좋았어용 ㅠㅠ
184,"하나 하나 천천히, 그리고 이해하기 쉽게 친절히 설명해 주셔서 감사합니다^^"
185,예약시간보다 조금 딜레이는 됐지만 친절하게 상담 잘 해주셨어요~ 치약칫솔세트도 감사합니다
186,주차가 용이하고 의료진들이 모두 친절합니다
187,항상 진료 하러 올 때 마다 친절하게 설명해주시고 꼼꼼하게 봐주세요 감사합니다!
188,병원 모든 분들이 친절해서 좋아요. 치료받을 때 의사선생님이 설명을 하나하나 해주셔서 제 치아에 대해 알 수 있었어요. 넘 만족합니다.
189,예약을 하고 갔는데도 30분동안 기다리고 치료는 5분도 안걸렸습니다.. 결국 사랑니 발치하려고 갔는데 그건 예약환자가 많아서 안된다고 하셔서..  조금 당황스럽네요
190,모두 친절하세요 ~
191,스케일링만 받으러 가까운 곳이라 왔는데 가글 마취를 해서 다른 곳보다 덜 아팠습니다. 그리고 의료진 모두 친절하시고 자세한 설명을 해주셔서 좋았네요.
192,친절하시고 진료도 잘 봐주세요~~ 어린이대기실도 따로 있어요~
193,교정상담 받으러 갔는데 선생님들 너무 친절하시고  특히 설명을 너무 잘 해주셔서 좋았어요~ 빨리 교정 시작하고 싶네요 ^.^
194,"검진차 처음 방문했는데 의사샘과 상담샘이 너무 친절하셔서 맘 편하게 상담했어요
궁금증 잘 해결되어서 감사드려요
진료결정시 다시 방문하겠습니다^^"
195,"병원도 깨끗하고 아이들 대기실이 따로 있는게 참 좋았어요
원장님도 설명을 차분히 잘 해주시고 치위생사 선생님들도
친절하셔서 기분좋게 진료하고 왔습니다^^"
196,너무 좋아요!
197,야간진료 좋아용!!
198,좋습니당
199,친절하고 좋습니다! 치아 하나하나에 대해 자세하게 설명해줘서 좋았어요
200,친절하고너무좋아요♡
201,"오랜만에 가는 거라 긴장했는데
원장님 친절하게 설명해주셔 이해하기 쉬웠어요!
스케일링 아프지 않게 잘 해주시고, 직원분들도 친절하세요~"
202,"여태까지 가본 치과 중 가장 친절했어요.. 의사선생님도, 간호사선생님도, 스케일링 해주신 선생님 다 너무 친절하세요. 예약 안 하고 온 건 저인데도 오래 기다리게 해서 죄송하다 말씀해주시고, 치아 관련해서도 정말 꼼꼼히 리뷰해주셨어요. 또 저는 잇몸이 많이 내려가서 스케일링이 완전 공포인데, 하면서도 계속 괜찮냐고 물어봐주셔서 너무 편안했습니다! 서울로 이사갈 예정인데 치과가러 대전오고 싶을 정도예요!!"
203,"친절하게 상담잘해주시고 치료잘해주셨어요~
아이도 만족스러워해요ㅎ"
204,너무 친절하고 안아프게 치료해주시는것 같아요~~ 다음번에 또 갈께요!!
205,깔끔하고 직원분들 다 너무 친절하세요 !!
206,스케일링 잘 해주셨어요
207,사랑니 발치하는데 어렵지 않게 해주셔서 감사해요. 원장님과 도와주시는 이하연선생님 친절하게 치료해주셔서 감사해요^^
208,첫 방문이고 인터넷으로 알게 되어 방문하게 되었는데 병원 내부 시설도 깔끔하고 의사 선생님과 직원분들도 친절하셨습니다 ! 꼼꼼하게 엑스레이 촬영하고 상담도 친절하게 설명해주셨습니다 !
209,스케일링 치료 아주 시원하게 잘해주십니다
210,너무 친절하고 치과이지만 두려움이 없는곳입니다!! 우리 가족 모두 이용하는 편안한 치과입니다!!
211,방역도 잘 해주시고 친절하게 진료해주셨어요 감사합니다^^
212,친절하시고 좋아요
213,항상 친절하시고 좋습니다
214,오랫만에 치과치료하려니 힘드네요 ㅠㅠ 그래도 친절하신 직원분들 덕분에 힘내서 하고있습니다^^
215,자세한 설명과 꼼꼼한 치료 감사합니다
216,"신경치료중인데 치아 뿌리 신경쪽이 석회화가 진행되었다고.. 쉽지않은 치료가 될 것 같다고 하셨는데 그럼에도 최선을 다해주시는 선생님
정말 감사합니다 치아가 얼른 제 모습을 되찾길"
217,저희 아이 교정치료부터 충치치료등 진료받고있는데 의사선생님과 간호사분들 너무 친절하시고 꼼꼼하게 진료도 잘 해주셔서 믿고 잘 다니는 곳 입니다.
218,정말 치과에 오기 무서워 하시는 분들께 강추!
219,다들 너무 친절하세요ㅠㅠ
220,"정기검진으로 방문했어요~ 항상 갈 때마다 만족, 추천합니다."
221,집 근처여서 다녀왔는데 충치 전용 기계?!?도 있고 친절하셔서 좋았습니다!! 원장님 성격이 믿음이가서 치료하려고 합니다!
222,"김준엽 원장님 덕분에 편안하게 진료받았습니다.
치과공포증이 심한데 마취부터 신경치료까지 편안하게 잘 받았습니다. 아직 갈길이 멀긴하지만 진료가 덜 두려워졌습니다. 감사합니다."
223,엄청 친절하게 도와주세여
224,"신경치료 받기 시작한 지 4번째에요!
치료할때에도 항상 조심스럽게 진찰해주시고 경과도 함께 살펴보며 궁금한 부분도 쉽게 설명해주십니다! ㅎㅎ"
225,"사랑니 빼러 방문했습니다~ 직원분들이 다 친절하셨어요  구강 상태가 안좋은 편인데 꼼꼼하게 치료 필요한 부분 체크해주셔서 좋았고  크게 치료에 대
해서는 꼭 해당치과에서 하라고 강요 하시거나 그런 부분이 없었고  사랑니 발치 과정도 잘해 주셨습니다 ~ :)"
226,"두번째방문이에요
치료를 위해 신경써주시는 선생님들 감사합니다,,"
227,"처음방문했는데 친절하신 선생님들께서 치료과정부터 예약 일정, 예정 비용까지 세세히 설명해주셨어요 아주 만족스러운 상담이었습니다~!"
228,…
229,"초6, 교정중입니다. 
굉장히 친절하시고, 꼼꼼하게 봐 주셔서 감사합니다.
"
230,너무 좋았습니다. 최고
231,좋아용
232,본떴습니다
233,아주깔끔
234,유치장치중에 가장 깔끔하게  해준듯
235,친절하시고 꼼꼼하게 잘 해주세용
236,엄청나게 친절합니다 
237,얼마전 첫째 영검 하고 분위기나 진료가 좋아서 스케일링 받으러 다시 방문👍👍 다시 방문 했지만 첫 느낌 그대로 친절하고 진료 내용도 아주 좋았습니다~~ 
238,신경치료중이예요 ㅋㅋㅋ
239,"치과를 오랜만에 갔는데  하나하나 친절히 설명해주고,  과잉진료 안하고, 꼭 필요한 진료만 추천해줘서  만족했어요. 또 스켈링했는데, 가글 마취도 하
고 안아프게 깨끗하게 해서 두번 만족했습니다!"
240,"병원자체도 깔끔,깨끗하고 아이 일반검진하러갔는데 차근차근 친절하게 설명도 잘해주셨어요!"
241,친절해요
