논문번호,논문제목,논문사번,논문저자,논문게재일,논문게재지
73,All-in-one type apparatus for thermoelectric property measurement at high temperature,00842,"권수용,김용규,김대호",2018-11-13,Journal of Physics: Conference Series
74,An ADAMTS Sol narae is required for cell survival in Drosophila,01062,"Orkhon Tsogtbaatar,원종훈,김고운,한정훈,조경옥,배영경",2019-12-01,SCIENTIFIC REPORTS
75,An analytical filter design method for guided wave phased arrays,00799,"권휴상,J.-Y. Kim",2016-12-15,MECH SYST SIGNAL PR
76,An Anti-proliferative ent-Kaurane Diterpene Isolated from the Roots of Mallotus japonicus Induced Apoptosis in Leukemic Cells,01122,"Joo-Eun Lee,Nguyen Thi Thanh Thuy,Youngju Lee,Namki Cho,유희민",2020-01-09,NAT PROD COMMUN
77,An energy-based unified approach to predict the low-cycle fatigue life of type 316L stainless steel under various temperatures and strain-rates,00728,"탁내형,김정석,임재용",2019-04-02,MATERIALS
78,An Impedance Bridge measuring the Capacitance Ratio in the High Frequency Range up to 1 MHz,00964,"김단비,이형규,김완섭",2017-02-01,MEASUREMENT SCIENCE AND TECHNOLOGY
79,"An Integrated Approach for Analysis of the DNA Damage Response in Mammalian Cells: NUCLEOTIDE EXCISION REPAIR, DNA DAMAGE CHECKPOINT, AND APOPTOSIS.",00969,"최준혁,김소영,김숙경,Kemp,Sancar",2015-11-27,JOURNAL OF BIOLOGICAL CHEMISTRY
80,An interferometric system for measuring thickness of parallel glass plates without 2π ambiguity using phase analysis of quadrature Haidinger fringes,00832,"김종안,김재완,강주식,진종한,이재용",2017-05-01,REVIEW OF SCIENTIFIC INSTRUMEMTS
81,An international Comparison Measurement of Silicon Wafer Sheet,00704,"강전홍,김창수,이상화,유광민",2015-01-15,대한전기학회논문지
82,An MRI scanner-independent radiofrequency dosimeter for the estimation of RF power deposition with a human torso phantom,01013,서영섭,2017-05-29,CONCEPT MAGN RESON B
83,An omnidirectional shear-horizontal guided wave EMAT for a metallic plate,01102,"승홍민,박충일,김윤영",2016-07-01,ULTRASONICS
84,An optical straightness measurement sensor for the KRISS watt balance,00768,"강주식,김종안,진종한,엄태봉,김재완",2015-02-02,MEASUREMENT
85,An optimized method for the accurate determination of nitrofurans in chicken meat using isotope dilution-liquid chromatography/mass spectrometry,00790,"김동겸,김병주,형석원,이치호,김정권",2015-06-01,J FOOD COMPOS ANAL
86,An Optimized Method for the Accurate Determination of Patulin in Apple Products by Isotope Dilution-Liquid Chromatography/Mass Spectrometry,00790,"서미영,김병주,백송이",2015-07-01,Analytical & Bioanalytical Chemistry
87,"An optimized tracer-based approach for estimating organic carbon emissions from biomass burning in Ulaanbaatar, Mongolia",00993,"자얀트 네르말카르,Tsatsral Batmunkh,정진상",2020-03-18,Atmospheric Chemistry and Physics
88,Analysis and design of an annular-array MPT for the efficient generation of omnidirectional shear-horizontal waves in plates,01102,"박충일,승홍민,이준규,김윤영",2019-05-20,SMART MATERIALS AND STRUCTURES
89,Analysis of Size Effect of Nano Scale Machining Based on Normal Stress and Indentation Theories,00880,"전은채,이윤희,제태진",2018-12-01,한국기계가공학회지
90,Analysis of trace impurities in neon by a customized gas chromatography,00873,"인민교,임정식,문동민,이계호,이정순",2016-09-09,J CHROMATOGR A
91,Analysis of uncertainty of electron density and temperature using laser Thomson scattering in helicon plasmas,00803,"서병훈,유신재,김정형",2015-07-10,Japanese Journal of Applied Physics
92,Analysis on Transition between Index- and Bandgap-guided Modes in Photonic Crystal Fiber,00990,"홍기석,임선도,박희수,김승관",2016-12-25,Journal of the Optical Society of Korea
93,Analysis on Transition between Index- and Bandgap-guided Modes in Photonic Crystal Fiber,00962,"홍기석,임선도,박희수,김승관",2016-12-25,Journal of the Optical Society of Korea
94,Angle-Dependent Spoof Surface Plasmons in Metallic Hole Arrays at Terahertz Frequencies,00860,"Khagendra Bhattarai,이상준,Zahyun Ku,Jiangfeng Zhou",2017-08-01,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS
95,Anisotropic yielding behavior of rolling textured high purity titanium,00953,"원종우,박경태,홍성구,이종수",2015-06-18,MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROST
96,Anisotropy in twinning characteristics and texture evolution of rolling textured high purity alpha phase titanium,00953,"원종우,김대환,홍성구,이종수",2016-10-01,Journal of Alloys and Compounds
97,ANKRD9 is associated with tumor suppression as a substrate receptor subunit of ubiquitin ligase,01019,"이예진,송지준,이진환,강창원,임병호,이선우,이우린,김용인,김민혁,주형석,김미영,강석조",2018-10-01,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE
98,Anodically Induced Chemical Etching of GaAs Wafers for a GaAs Nanowire-Based Flexible Terahertz Wave Emitter,01093,"신정호,류현,지영빈,오승재,이우",2020-11-11,ACS Applied Materials & Interfaces
99,Anodization for Simplified Processing and Efficient Charge Transport in Vertical Organic Field-Effect Transistors,01128,"임경근,Erjuan Guo,Axel Fischer,Qian Miao,Karl Leo,Hans Kleemann",2020-07-01,ADVANCED FUNCTIONAL MATERIALS
100,Anomalous Ambipolar Transport of Organic Semiconducting Crystals via Control of Molecular Packing Structures,01067,"박재성,박범진,김경훈,김정원,김광수,신현석,이근식,김세현,박찬은,김진곤,임희선,펑티랭,장아랑,현초희,명창우,박승규",2017-08-23,ACS Applied Materials & Interfaces
101,Anomalous thermoelectricity of pure ZnO from 3D continuous ultrathin nanoshell structures,00889,"김기선,박준용,홍석균,박선화,전성기,안창의,송재용,전석우",2018-02-14,NANOSCALE
102,Antiferromagnetic coupling of van der Waals ferromagnetic Fe3GeTe2,00752,"박시진,김동석,윤정범,주성중,김태엽,민길준,김창수,문경웅,황찬용",2019-03-26,NANOTECHNOLOGY
103,Anti-Melanogenesis Activity of 6-O-Isobutyrylbritannilactone from Inula britannica on B16F10 Melanocytes and In Vivo Zebrafish Models,01122,"Dae Kil Jang,팜하차우,Ik Soo Lee,Han-Seung Shin,유희민",2020-08-26,MOLECULES
104,Antiproliferative Pterocarpans and Coumestans from Lespedeza bicolor,01122,"Nguyen Thi Thanh Thuy,Joo-Eun Lee,유희민,Namki Cho",2019-11-22,JOURNAL OF NATURAL PRODUCTS
105,APMP comparison for the calibration of ambient dose equivalent meters in ISO neutron reference fields - APMP.RI(III)-S1,00834,"박현서,김정호",2015-06-01,METROLOGIA Tech. Suppl
106,APMP key comparison of absolute pressure from 10 kPa to 110 kPa (APMP.M.P-K9),00824,"최인묵,우삼용",2020-01-15,METROLOGIA Tech. Suppl
107,APMP key comparison of DC voltage at 1.018 V and 10 V,00649,"김규태,외부9,외부1,외부2,외부3,외부4,외부5,외부6,외부7,외부8",2017-07-25,METROLOGIA Tech. Suppl
108,APMP.M.P-K1.c.2 :APMP Key Comparison of Gauge Pressure from 0.4 MPa to 4 MPa,00824,"최인묵,우삼용,Yue Jin,Yanhua Li",2019-10-15,METROLOGIA Tech. Suppl
109,Apoptosis in Leukemic Cells Induced by Anti-proliferative Coumarin Isolated from the Stem Bark of Fraxinus rhynchophylla,01122,"Beom Zoo Lee,팜하차우,KwangWon Hong,유희민",2020-07-20,JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY
110,Application of digital PCR for assessing DNA fragmentation in cytotoxicity response,01062,"한정란,이지연,배영경",2019-08-01,BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS
111,Application of k0-INAA Method in Preliminary Characterization of KRISS Urban Airborne Particulate Matter Certified Reference Material,01065,"조하나,Kishore B. Dasari,임명철,선광민,Radojko Jacimovic,임용현",2020-10-01,Applied Sciences
112,Application of KLM Model for an Ultrasonic Through-Transmission Method,00810,"김건우,서무경,최남경,백광세,김기복",2019-02-11,INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING
113,Application of the INAA methods for KRISS infant formula CRM analysis: standardization of INAA at KRISS,01065,"조하나,Kishore B. Dasari,Radojko Jaimovi,Rolf Zeisler,Nicholas E. Sharp,김선하,선광민,임용현",2019-12-01,JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY
114,Ar-gas cluster ion beam in ToF-SIMS for peptide and protein analysis,00816,"윤소희,손진경,손현경,문정희,조선호,이태걸",2020-03-01,BIOINTERPHASES
115,Ar-gas cluster ion beam in ToF-SIMS for peptide and protein analysis,00960,"윤소희,손진경,손현경,문정희,조선호,이태걸",2020-03-01,BIOINTERPHASES
116,Asia-Pacific Metrology Program (APMP) and Asia-Pacific Laboratory Accreditation Cooperation (APLAC) joint proficiency testing with metrological reference values for hazardous elements in cabbage,00956,"김숙현,허성우,조하나,임용현,임영란,이경희,황의진",2016-12-01,TRAC-TREND ANAL CHEM
117,Assessment of diffusion tensor image quality across sites and vendors using the American College of Radiology head phantom,01013,서영섭,2016-05-08,Journal of Applied Clinical Medical Physics
118,Assessment of the air flowrate measurement in altitude engine tests by the national measurement standards system,00961,"이경재,김춘택,김용규,이보화,최용문,이생희,강웅",2019-11-01,Journal of Mechanical Science and Technology
119,Asymmetric Electron-Hole Decoherence in Ion-Gated Epitaxial Graphene,01067,"박재성,민길준,김완섭,채동훈",2017-09-21,SCIENTIFIC REPORTS
120,Atom shutter using bender piezoactuator,01130,"김휘동,이원규,유대혁,허명선,박창용,이상경,이영규",2017-02-01,REVIEW OF SCIENTIFIC INSTRUMEMTS
121,Azimuth-Rotated Splicings of a Four-Core Optical Fiber for Inter-Core Group Delay Compensation,00869,"이희정,이은주,박희수",2018-01-01,IEEE PHOTONICS TECHNOLOGY LETTERS
122,Bacterial analysis by laser desorption ionization mass spectrometry on amorphous silicon,00960,"김신혜,김정권,조승현,김정훈,김경중,윤소희",2016-12-26,BIOINTERPHASES
123,Band engineering of a Si quantum dot solar cell by modification of B-doping profile,00692,"곽계영,이성현,장종식,홍성웅,김안순,김경중",2017-01-01,SOLAR ENERGY MATERIALS AND SOLAR CELLS
124,Band modulation and in situ doping control of carbon-nanotube field-effect transistors by work-function engineering,00983,"최동환,정두원,이정오,배명호,김주진",2018-04-01,CARBON
125,Basics of Ion Mobility Mass Spectrometry,01129,이종화,2017-12-30,Mass Spectrometry letters
126,Bend-loss-free distributed sensor based on Rayleigh backscattering in Ge-doped-core PCF,00793,"나임 쿠람,권용석,외부,권일범",2018-03-01,IEEE SENS J
127,Best practice for positioning sound absorbers at room surface,00985,"조완호,J.-G. Ih,Katsumata,T. Toi",2018-01-01,APPLIED ACOUSTICS
128,Betulin Protects HT-22 Hippocampal Cells against ER Stress through Induction of Heme Oxygenase-1 and Inhibition of ROS Production,01122,"Phil Jun Lee,Hye-Jin Park,유희민,Namki Cho",2019-12-23,NAT PROD COMMUN
129,Bi-annular shear-horizontal wave MPT tailored to generate the SH1 mode in a plate,01102,"박충일,승홍민,김윤영",2019-11-01,ULTRASONICS
130,Bias reduction in the quantitative analysis of a target analyte present in a limited quantity in human plasma using dual-mode heart-cutting two-dimensional liquid chromatography coupled with isotope dilution mass spectrometry,01020,"형석원,김병주",2020-03-17,BIOMED CHROMATOGR
131,Big Data Quality Assurance Through Data Traceability: A Case Study of the National Standard Reference Data Program of Korea,00857,이도영,2019-03-14,IEEE Access
132,Bilateral comparison of the absorbed dose to water in high energy X-ray beams between the KRISS and the NMIJ,00939,"김인중,김병철,이철영,Morihito Shimizu,Yuchiro Morishita,Norio Saito",2020-07-01,Nuclear engineering and technology
133,Bimodal Control of Heat Transport at Graphene-Metal Interfaces Using Disorder in Graphene,00899,"김재현,여호기,M.E.Khan,고재현,김종훈,이의섭,서준기,Junqiao Wu,김용현,박정영",2016-10-04,SCIENTIFIC REPORTS
134,"Biodistribution and Internal Radiation Dosimetry of 99mTc-IDA-D-[c(RGDfK)]2 (BIK-505), a Novel SPECT Radiotracer for the Imaging of Integrin αv β3 Expression",01066,"김중현,송요성,이병철,정재호,박현수,김상은",2018-11-02,CANCER BIOTHER RADIO
135,Biological tissue sample preparation for time.of.flight secondary ion mass spectrometry (ToF.SIMS) imaging,00816,"윤소희,이태걸",2018-09-25,NANO CONVERGENCE
136,Biological tissue sample preparation for time.of.flight secondary ion mass spectrometry (ToF.SIMS) imaging,00960,"윤소희,이태걸",2018-09-25,NANO CONVERGENCE
137,Blood pressure differences between a mercury sphygmomanometer and two automatic devices,00435,"임현균,도일,안봉영",2015-12-31,Biomedical Engineering Letters
138,Blood pressure differences between a mercury sphygmomanometer and two automatic devices,00877,"임현균,도일,안봉영",2015-12-31,Biomedical Engineering Letters
139,Brain MR diffusion tensor imaging for multi-site studies: A Review,01013,서영섭,2018-01-18,Biomedical Journal of Scientific and Technical Research
140,Bright visible light emission from graphene,00983,"김영덕,김학성,조유진,류지훈,박승남,유용심,배명호,박윤",2015-08-06,Nature Nanotechnology
141,Broadband measurement of high permittivity at millimetre-wave frequencies,01048,"홍영표,외부,이동준",2016-04-28,ELECTRONICS LETTERS
142,Building a Graphite Calorimetry System for the Dosimetry of Therapeutic X-ray Beams,00939,"김인중,김병철,김중현,정재필,이철영",2017-02-11,Nuclear engineering and technology
143,"Burkholderia jirisanensis sp. nov., isolated from forest soil",01036,"김세일,공경택,우한민,김연제,엄영순",2016-03-01,INT J SYST EVOL MICR
144,CAF 이용 다중 발신기하에서의 CRLB 성능 분석,00833,"이영규,양성훈,이창복,박영미,이문석",2015-06-22,제어·로봇·시스템학회지 = iCROS
145,Calculation of the eigenfrequencies for an infinite circular cylinder,00992,"백경민,유정수,신구균",2016-01-01,The Journal of the Acoustical Society of Korea
146,Calibration and Uncertainty Analysis of Sample-Time Error on High Jitter of Samplers,01007,"조치현,이주광,강태원,강노원",2018-07-31,Journal of Eectromagnetic Engineering and Science
147,Calibration of a Built-in Vacuum Sensor in a Gas Pressure Balance Down to 1 Pa Using RPG(Reverse-Operated Piston Gauge),00502,"우삼용,양태헌,송한욱",2018-03-01,MAPAN - Journal of Metrology Society of India
148,Calibration of a Fourier transform spectrometer using its internal lamp as a reference source,00873,"Aditya,임정식,박승남,이정순",2020-04-03,MEASUREMENT SCIENCE AND TECHNOLOGY
149,Calibration of a radiosonde humidity sensor at low temperature and low pressure,01049,"이상욱,최병일,우상봉,김종철,김용규",2019-03-22,METROLOGIA
150,Calibration of oscillometric non-invasive devices for monitoring blood pressure,01050,"도일,임현균,안봉영",2015-03-12,METROLOGIA
151,Calibration of Time-Interleaved Errors in Digital Real-Time Oscilloscopes,01007,"조치현,이주광,Paul D. Hale,Jeffrey A. Jargon,Peter Jeavons,John B. Schlager,Andrew Dienstfrey",2016-11-01,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES
152,Calibration of voltage transformer test set using an error simulator,00814,"정재갑,외부,이영섭,김규태",2015-07-24,MEASUREMENT SCIENCE AND TECHNOLOGY
153,Calibration of voltage transformer test set using an error simulator,00649,"정재갑,외부,이영섭,김규태",2015-07-24,MEASUREMENT SCIENCE AND TECHNOLOGY
154,Calibration phantoms for accurate water and lipid density quantification using dual energy mammography,01077,"조효민,H Ding,N Kumar,D Sennung,S Molloi",2017-05-11,PHYSICS IN MEDICINE AND BIOLOGY
155,Cancellation of collisional frequency shifts in optical lattice clocks with Rabi spectroscopy,00826,"이상경,박창용,이원규,유대혁",2016-03-18,NEW JOURNAL OF PHYSICS
156,Cascaded multi-dithering technique using PZT modulators for high control bandwidth in coherent laser beam combining,01101,"안희경,공홍진",2017-09-01,APPLIED PHYSICS B-LASERS AND OPTICS
157,Catalyst-free heteroepitaxial growth of very long InAs nanowires on Si,00983,"황정우,김범규,이상준,배명호,신재철",2015-09-01,Current Applied Physics
158,CCQM pilot study CCQM-P140: quantitative surface analysis of multi-element alloy films,00692,"김경중,장종식,김안순,서정기,정용덕",2015-11-01,METROLOGIA Tech. Suppl
159,CCQM-K113 final report: Noble gas mixture,01008,"임정식,이진복,문동민,이정순",2017-03-01,METROLOGIA Tech. Suppl
160,Certification and stability assessment of recombinant human growth hormone as a certified reference material for protein quantification,00995,"트란 흐엉,김주옥,노르디아나,목인규,오경화,이화심,김숙경,정지선",2019-09-15,J CHROMATOGR B
161,Changes in the Photoluminescence of Monolayer and Bilayer Molybdenum Disulfide during Laser Irradiation,00652,"김호종,Yong Ju Yun,Sam Nyung Yi,Soo Kyung Chang,하동한",2020-04-03,ACS Omega
162,Changes in the Raman spectra of monolayer MoS2 upon thermal annealing,00652,"김호종,김대희,정수용,배명호,윤용주,이삼녕,유정선,김종현,하동한",2018-12-17,JOURNAL OF RAMAN SPECTROSCOPY
163,Characterization and application of porous gold nanoparticles as 2-photon luminescence imaging agents: 20-fold brighter than gold nanorods,00815,"박주현,박지수,김수호,김세화,이태걸,이재용,위정섭",2018-02-08,Journal of Biophotonics
164,Characterization of a 1 mm (DC to 110 GHz)  Calibration Kit for VNA,01007,"조치현,강진섭,이주광,구현지",2019-10-31,Journal of Eectromagnetic Engineering and Science
165,Characterization of a Newly Designed Vacuum Valve Having a Variable Conductance Function,00901,"송한욱,우삼용",2020-10-10,MAPAN - Journal of Metrology Society of India
166,Characterization of Dielectric Relaxation Process by Impedance Spectroscopy for Polymers: Nitrile Butadiene Rubber and Ethylene Propylene Diene Monomer,00814,"정재갑,문영일,김경현,탁내형",2020-12-07,journal of spectroscopy
167,Characterization of Lattice Parameters Gradient of Cu(In1-xGax)Se2,00686,"김용일,김기복,김미소",2020-08-15,J MATER SCI TECHNOL
168,Characterization of particle generated during plasma-enhanced chemical vapor deposition on amorphous carbon layer using particle beam mass spectrometer,00903,"김태완,김동빈,박상현,임성규,이효창,김태성,강상우",2018-03-01,JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A
169,Characterization of Recombinant Human Erythropoietin Isoforms by Capillary Isoelectric Focusing with Hydroxypropyl Cellulose-Coated Capillaries,00862,"안성희,김병주,Rong Xun H,Hai DOng Y",2017-06-01,CHROMATOGRAPHIA
170,"Characterization of sampling artifacts in the measurement of carbonaceous particles using high- and low-volume samplers in Daejeon, Korea",00993,"정진상,이상일,오상협",2016-08-01,ATMOSPHERIC ENVIRONMENT
171,Characterization of the Anti-Cancer Activity of the Probiotic Bacterium Lactobacillus fermentum Using 2D vs. 3D Culture in Colorectal Cancer Cells,01122,"이진아,Joo-Eun Lee,유희민,김지현,Namki Cho,Sung Hoon Lee,Sung Bum Park,Byumseok Koh,강덕진,김세일",2019-10-01,Biomolecules
172,Characterization of wafer-scale MoS2 and WSe2 2D films by spectroscopic ellipsometry,00870,"Mangesh S.,강상우,김영동,박규남,문지훈,박한결,제갈원,조용재,조현모,박주상,김형준",2017-07-05,Current Applied Physics
173,Charge Transport in Thick Reduced Graphene Oxide Film,00652,"김호종,김대희,정수용,이삼녕,윤용주,장수경,하동한",2015-12-24,Journal of Physical Chemistry C
174,Chemical characterization of the long-range transport of firework/firecracker emissions over the Korean Peninsula: A novel indicator of Asian continental outflows,00993,"정진상,이상일,오상협",2018-04-01,ATMOSPHERIC ENVIRONMENT
175,"Chemical Composition of Asian Dust in Daejeon, Korea during the Spring Season",00812,"Kishore B. Dasari,조하나,Radojko Jacimovic,선광민,임용현",2020-08-20,ACS Earth and Space Chemistry
176,CHSH inequality test via disturbance-free measurement,01103,"이상민,김민수,김헌오,문한섭,김상욱",2018-07-31,Quantum Science and Technology
177,Clarification of the calculation of minimum detectable activity in low-level radioactivity measurements,00808,"이경범,이종만,박태순,이상한,정미영,이민기",2016-03-01,APPLIED RADIATION AND ISOTOPES
178,Clearing up the oxygen dip in HPAECPAD sugar analysis: Sodium sulfite as an oxygen scavenger,01100,"권하정,정지선",2019-10-01,J CHROMATOGR B
179,Collision Cross Sections and Ion Structures: Development of a General Calculation Method via High-quality Ion Mobility Measurements and Theoretical Modeling,01129,"이종화,DavidsonKL,BushMF,김준곤",2017-11-21,ANALYST
180,Colorectal cancer cells differentially impact migration and microRNA expression in endothelial cells,01062,"김도예,이상수,배영경",2019-11-05,Oncology Letters
181,Compact achromatic lens geometry for High-Lateral-Resolution Atmospheric-Pressure MALDI Mass Spectrometric Imaging,00848,"양호순,한상윤",2015-01-26,Bulletin of the Korean Chemical Society
182,Comparative analysis of gene expression profiles for several migrating cell types identifies cell migration regulators,01062,"배영경,Macabenta, F,Curtis, HL,Stathopoulos, A",2017-04-18,Mechanisms of Development
183,Comparative Study of Various Methods for Trace SF6 Measurement Using GC-μECD: Demonstration of Lab-Pressure-Based Drift Correction by Preconcentrator,00873,"이정순,김가해,이해영,문동민,이진복,임정식",2020-05-18,JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY
184,Comparative study on formation of protein coronas under three different serum origins,00816,"이선영,손진경,문정희,조선호,이태걸",2020-11-01,BIOINTERPHASES
185,Comparative study on formation of protein coronas under three different serum origins,01104,"이선영,손진경,문정희,조선호,이태걸",2020-11-01,BIOINTERPHASES
186,Comparison APMP.QM-S2.1: oxygen in nitrogen at atmospheric level,00372,"김병문,김광섭,정진상,오상협,Liu Hui,Hou Li,T. B. Keat,C. H. Ann",2016-01-01,METROLOGIA Tech. Suppl
187,Comparison between thaw-mounting and use of conductive tape for sample preparation in ToF-SIMS imaging of lipids in Drosophila microRNA-14 model,00816,"레티민웬,손진경,손현경,박정향,이성배,이태걸",2018-06-01,BIOINTERPHASES
188,Comparison of Antenna Parameters of R-/S-Band Standard Gain Horn Antennas,00801,"강진섭,김정환,박정일",2015-10-01,Journal of Eectromagnetic Engineering and Science
189,Comparison of desorption enhancement methods in the low temperature plasma ionization mass spectrometry for detecting fatty acids in Drosophila,00964,"김신혜,장현준,박정향,이형준,김정권,임용현,김단비,윤소희",2017-08-01,Current Applied Physics
"1,030",Switched integration amplifier-based photocurrent meter for accurate spectral responsivity measurement of photometers,00878,"박성종,홍기석,김완섭",2016-03-20,APPLIED OPTICS
"1,031",Switching the Charge State of Individual Surface Atoms at Si(111)-√3 × √3:B Surfaces,00970,"엄대진,문창연,구자용",2015-01-05,NANO LETTERS
"1,032",Switching-current shift in spin Hall effect with perpendicular magnetic field,01029,"김동석,김범진,김지민,윤창진,황찬용,이병찬,주성중,이긍원",2019-07-25,PHYSICAL REVIEW B
"1,033",Synthesis of Mesoporous Iron Oxide Particles Edge by using Prussian Blue,00902,"맹희진,김남운,이동규,유현웅",2015-04-01,Bulletin of the Korean Chemical Society
"1,034",Synthesis of spherical Prussian blue with high surface area using acid etching,00902,"맹희진,김대한,김남운,류현,이동규,유현웅",2018-08-01,Current Applied Physics
"1,035",Systematic errors and their corrections of the IEC standard method for absolute quantum efficiency measurement on photoluminescent materials,00878,"진진화,박승남,김한필,박성종",2020-01-14,METROLOGIA
